company,month,transaction_date,type,employee,employer,pension,notes
Acme Corp,2019-12,01/01/2020,Contribution,5000,5000,1250,
Acme Corp,2020-01,01/02/2020,Contribution,5000,5000,1250,
Acme Corp,2020-02,01/03/2020,Contribution,5000,5000,1250,
Acme Corp,2020-03,31/03/2020,Interest,650,650,,Annual interest credit
Acme Corp,2020-04,01/05/2020,Contribution,5100,5100,1250,
Acme Corp,2020-05,01/06/2020,Contribution,5100,5100,1250,
Acme Corp,2020-06,01/07/2020,Contribution,5100,5100,1250,
Acme Corp,2021-03,31/03/2021,Interest,1400,1400,,Annual interest credit
Globex Inc,2022-12,01/01/2023,Contribution,6500,6500,1250,
Globex Inc,2023-01,01/02/2023,Contribution,6500,6500,1250,
Globex Inc,2023-02,01/03/2023,Contribution,6500,6500,1250,
Globex Inc,2023-03,31/03/2023,Interest,780,780,,Annual interest credit
Globex Inc,2023-04,01/05/2023,Contribution,6800,6800,1250,
Globex Inc,2023-05,01/06/2023,Contribution,6800,6800,1250,
Globex Inc,2024-03,31/03/2024,Interest,1650,1650,,Annual interest credit
